,OntarioStations.STATION_NUMBER,V1,V2,optional,Drainage Area (Km^2),
115,02EC008,-79.34388733,44.26063919,TRUE,272,
116,02EC009,-79.48956299,44.09492111,TRUE,176,
118,02EC011,-79.0708313,44.39707947,TRUE,291,
120,02EC018,-79.1946106,44.26752853,TRUE,347,
123,02EC021,-79.11276245,44.1380806,TRUE,40.6,
205,02GA031,-80.10900116,43.57614136,TRUE,41.5,
298,02HB001,-80.02288818,43.83586121,TRUE,209,
299,02HB004,-79.77677917,43.4991684,TRUE,193,
300,02HB005,-79.8797226,43.51388931,TRUE,101,
302,02HB008,-79.8662796,43.64656067,TRUE,131,
303,02HB011,-79.86432648,43.43688965,TRUE,242,
304,02HB012,-79.8690033,43.30064011,TRUE,77.9,
305,02HB013,-80.06240082,43.89126968,TRUE,60.6,
308,02HB018,-79.92682648,43.77357864,TRUE,415,
313,02HB024,-80.01042175,43.62931061,TRUE,18.9,
314,02HB025,-79.85600281,43.64757919,TRUE,645,
315,02HB027,-79.70314789,43.42145157,TRUE,24.5,
317,02HB029,-79.70874786,43.58227921,TRUE,774,
318,02HB030,-79.62389374,43.59233093,TRUE,19.7,
322,02HB034,-79.8631897,43.30595016,TRUE,,MIA
323,02HC003,-79.52039337,43.69894028,TRUE,802,
324,02HC005,-79.40313721,43.74024963,TRUE,88.1,
325,02HC009,-79.58441925,43.79008102,TRUE,191,
326,02HC013,-79.19146729,43.77819061,TRUE,89.1,
327,02HC017,-79.75939178,43.69158173,TRUE,68.6,
328,02HC018,-78.96032715,43.87549973,TRUE,100,
329,02HC019,-79.0592804,43.89128113,TRUE,93.5,
330,02HC022,-79.23355865,43.85836029,TRUE,181,
331,02HC023,-79.7175293,43.88800049,TRUE,62.2,
332,02HC024,-79.3615036,43.68585968,TRUE,319,
333,02HC025,-79.62757874,43.81130981,TRUE,296,
334,02HC027,-79.50435638,43.67425156,TRUE,58,
335,02HC028,-79.21627808,43.90789032,TRUE,83.6,
336,02HC030,-79.55632782,43.60174942,TRUE,205,
337,02HC031,-79.67893982,43.75836182,TRUE,142,
338,02HC032,-79.61277771,43.90277863,TRUE,94.8,
339,02HC033,-79.51969147,43.64736176,TRUE,67.8,
340,02HC038,-79.17952728,43.9157486,TRUE,52,
341,02HC047,-79.82299805,43.92850113,TRUE,164,
343,02HC049,-79.05610657,43.8488884,TRUE,257,
344,02HC051,-79.83444214,43.92443848,TRUE,42,
345,02HC053,-79.28218842,43.9256897,TRUE,59,
346,02HC054,-78.95996857,43.95907974,TRUE,39,
347,02HC055,-78.98847198,43.93196869,TRUE,37.6,
348,02HC056,-79.43807983,43.82661057,TRUE,37.3,
349,02HC058,-79.2336731,43.7532196,TRUE,39.3,
353,02HD006,-78.70200348,43.92147064,TRUE,80.9,
354,02HD008,-78.8915329,43.9303093,TRUE,95.8,
355,02HD009,-78.61881256,43.93022156,TRUE,80.7,
358,02HD013,-78.82494354,43.8888588,TRUE,42.9,
363,02HD021,-78.64232635,44.00571823,TRUE,25.1,
365,02HD023,-78.68031311,43.9790802,TRUE,14.7,
371,02HG002,-79.00608063,44.086689,TRUE,32.6,
372,02HG003,-78.82897186,44.13191986,TRUE,33.8,
